id,cpf,nome,data_nascimento,departamento,escolaridade,cidade
29,091.485.762-20,Fernanda Siqueira,20/02/1989,TI,Ensino Fundamental,Silva
30,920.831.674-22,Dr. Josué Almeida,03/12/1974,Recursos Humanos,Ensino Médio,Borges de Goiás
31,605.123.497-70,Eduardo Oliveira,12/07/2001,Vendas,Pós-Graduação,Caldeira de Castro
32,016.853.724-90,Yasmin Costa,01/10/1979,Marketing,Graduação,Borges
33,549.628.107-58,Melina Pires,19/07/1967,Recursos Humanos,Pós-Graduação,da Luz
34,897.154.362-00,Sr. Miguel Silva,01/05/1997,Recursos Humanos,Ensino Fundamental,Rios de Teixeira
35,169.753.280-21,Luna da Mota,27/06/1967,Recursos Humanos,Graduação,Teixeira
36,621.548.370-26,Otávio Garcia,25/01/1982,Vendas,Ensino Fundamental,Leão
37,752.841.360-71,Dra. Maria Isis Duarte,07/12/1968,Marketing,Ensino Médio,Mendonça Paulista
38,603.849.152-05,Cecilia Ribeiro,07/02/1980,Vendas,Ensino Fundamental,Viana
39,186.492.357-19,Srta. Ana Júlia Duarte,12/04/1997,TI,Ensino Médio,Azevedo dos Dourados
40,970.843.152-41,Luigi Casa Grande,10/07/1992,Marketing,Ensino Fundamental,Mendes
41,453.162.790-34,Sabrina Sales,22/12/1966,Marketing,Ensino Fundamental,Moraes de Cavalcanti
42,159.743.680-10,Sr. Nathan Marques,05/04/1974,Vendas,Ensino Médio,Silveira
43,879.135.026-30,Carolina Duarte,01/11/2003,Financeiro,Pós-Graduação,Sá
44,984.370.526-29,Isaac Martins,05/08/1999,Vendas,Pós-Graduação,Sales
45,324.509.671-25,Dra. Luiza Campos,05/04/1998,TI,Pós-Graduação,Mendes
46,582.417.963-82,Eloá Cassiano,05/11/1978,Marketing,Pós-Graduação,Pimenta do Amparo
47,073.241.569-16,Mariana Costa,30/09/1972,Vendas,Graduação,Siqueira da Prata
48,617.032.958-03,Sr. Enrico Pinto,01/06/2007,TI,Graduação,Correia da Praia
49,351.068.279-30,Dr. Anthony Gabriel Ferreira,01/05/1973,TI,Ensino Médio,Cassiano
50,397.241.085-97,Dra. Ana Luiza Costela,11/12/1995,TI,Ensino Médio,Alves
51,175.082.469-85,Dr. Arthur Miguel da Luz,24/09/1990,Financeiro,Ensino Médio,Costela
52,843.061.257-26,Sr. Bryan da Costa,30/08/1996,TI,Ensino Médio,Mendes do Norte
53,361.597.284-82,Ana Lívia Cavalcante,24/06/1968,Vendas,Ensino Médio,Sá
54,021.384.579-23,Srta. Hadassa Viana,01/06/2004,TI,Ensino Fundamental,Barros da Mata
55,417.628.039-50,Leandro Casa Grande,27/10/1981,TI,Ensino Médio,Machado da Prata
56,064.398.571-93,Henry Andrade,12/01/1965,TI,Ensino Médio,da Mata da Serra
57,390.186.425-33,Emanuel da Cunha,23/12/1996,Marketing,Graduação,Mendonça
58,729.450.613-25,Luana Novaes,08/03/1999,Recursos Humanos,Graduação,Barbosa de Sampaio
59,084.536.297-65,Mathias Cunha,02/04/1970,Marketing,Ensino Fundamental,Mendonça
60,289.145.367-00,Dr. Ian Sales,25/02/1992,Marketing,Ensino Médio,Gomes
61,348.095.276-38,Benjamim Alves,03/01/2006,Vendas,Ensino Fundamental,Lopes
62,570.269.138-59,Anthony Gabriel Pinto,30/05/1999,Vendas,Ensino Fundamental,Barros Grande
63,468.051.927-49,Bárbara Fonseca,09/09/1974,Financeiro,Ensino Médio,Siqueira do Norte
64,039.624.185-98,Eloah Campos,14/05/1996,Vendas,Pós-Graduação,Araújo de Minas
65,859.013.276-59,Ravi Lucca Lima,11/03/1978,Marketing,Pós-Graduação,Rios
66,624.905.837-00,Fernando Abreu,23/01/2003,TI,Ensino Fundamental,Vieira
67,597.418.302-97,Ravy Macedo,19/05/1973,Marketing,Pós-Graduação,Costa
68,845.760.923-83,Cecilia Guerra,04/02/1998,TI,Ensino Fundamental,da Paz
69,195.807.643-01,Sra. Eloá da Luz,01/10/1997,Financeiro,Ensino Fundamental,Moura da Mata
70,394.852.670-29,Sra. Sofia Teixeira,08/04/1994,Recursos Humanos,Pós-Graduação,Novais
71,530.674.981-00,Vinicius Teixeira,20/06/1967,TI,Pós-Graduação,Moreira
72,908.451.632-05,Felipe das Neves,04/01/2007,Financeiro,Ensino Fundamental,da Conceição
73,640.213.985-89,Ana Júlia Novaes,19/11/2002,TI,Ensino Médio,Freitas da Mata
74,402.587.319-23,Srta. Maria Isis Cavalcanti,04/09/1967,Recursos Humanos,Graduação,Cardoso
75,140.362.978-13,Sr. Bento Pires,16/11/2006,Recursos Humanos,Pós-Graduação,Andrade
76,350.182.764-44,Luiz Otávio da Cruz,11/08/1993,TI,Pós-Graduação,Nogueira da Prata
77,280.364.719-22,Stephany Câmara,18/07/1978,Financeiro,Pós-Graduação,Rodrigues
78,397.645.201-70,Gabriel Cavalcanti,05/09/2000,Financeiro,Graduação,Souza de Marques
79,638.972.541-82,Bento Guerra,08/08/2000,Marketing,Ensino Médio,Alves da Serra
80,184.752.630-62,Yuri Barros,10/09/2001,Marketing,Ensino Médio,Rodrigues
81,645.172.390-80,Manuella Peixoto,29/04/1993,TI,Pós-Graduação,Vasconcelos
82,501.294.638-33,Gabriel da Rosa,30/07/1993,TI,Ensino Fundamental,Rios
83,081.954.276-85,Luan Gomes,26/06/1968,Financeiro,Pós-Graduação,Caldeira de Oliveira
84,137.246.509-06,Fernando Ramos,03/10/1994,Marketing,Ensino Médio,Nascimento do Sul
85,258.640.391-60,Dr. Henrique Rocha,24/04/2005,Recursos Humanos,Pós-Graduação,Vasconcelos de Porto
86,641.359.820-42,Nina Machado,01/03/2003,Recursos Humanos,Ensino Médio,Nunes
87,265.908.341-05,Ana Clara Nunes,31/01/1971,Financeiro,Ensino Fundamental,Fogaça
88,904.862.571-85,Lara Caldeira,29/08/1978,Recursos Humanos,Pós-Graduação,Viana de Ferreira
89,268.540.917-30,Srta. Daniela Cavalcanti,17/08/1985,Recursos Humanos,Graduação,Pastor do Oeste
90,026.841.539-06,Pietro Pacheco,18/01/2004,TI,Ensino Fundamental,da Mata
91,365.140.982-15,Srta. Liz Nogueira,03/05/1980,Marketing,Ensino Fundamental,Câmara
92,728.145.306-07,Gustavo Sampaio,22/09/1990,Marketing,Ensino Médio,Campos
93,139.268.054-98,Pietro da Luz,30/06/1984,Vendas,Graduação,Pereira do Norte
94,297.308.461-03,Noah Nunes,25/01/1965,Recursos Humanos,Ensino Fundamental,Andrade do Campo
95,738.019.652-95,Heitor Castro,30/10/1999,Vendas,Ensino Fundamental,Melo
96,867.012.593-59,Otto Santos,29/08/1966,Vendas,Ensino Médio,Vargas do Oeste
97,652.893.417-73,Bryan Costela,19/09/1986,Marketing,Ensino Fundamental,Rodrigues
98,045.217.689-11,Valentina Casa Grande,08/01/1973,Recursos Humanos,Ensino Fundamental,da Mata de Vieira
99,475.609.813-48,João Gomes,27/04/1985,Financeiro,Ensino Fundamental,da Cruz
100,837.195.642-82,Maysa Lima,05/01/2000,Financeiro,Ensino Fundamental,da Conceição
